hour_of_day,login_duration,failed_attempts,country_code,device_known,typing_speed_wpm,ip_reputation,logins_last_24h,time_since_last,label
12,1947.05,0,0,0,65.68,0,3,4.93,0
19,1421.8,0,0,1,50.12,0,3,18.19,0
10,1338.52,0,0,1,63.64,0,1,20.98,0
0,305.47,4,1,0,15.45,1,22,0.01,1
12,2473.81,0,0,1,52.61,0,2,18.76,0
13,1602.01,0,0,1,25.05,0,4,18.44,0
9,1577.29,1,0,1,55.8,0,2,16.91,0
20,1078.45,0,0,1,60.67,0,4,4.7,0
18,1505.29,0,0,1,52.83,0,1,14.96,0
14,1292.75,0,0,1,61.71,0,5,19.39,0
17,1607.07,1,0,1,40.94,0,1,4.67,0
18,1547.63,0,0,1,61.72,0,3,23.7,0
9,1966.33,0,0,1,38.54,0,1,16.65,0
9,1945.66,0,0,1,55.21,0,4,0.5,0
11,1611.47,0,0,1,46.1,0,2,8.82,0
3,98.38,7,1,1,7.59,0,38,0.48,1
15,1862.13,0,0,1,49.83,0,2,10.68,0
12,2639.18,0,0,1,58.54,0,1,4.28,0
10,2247.56,0,0,1,57.1,0,5,11.22,0
21,1956.15,0,0,0,55.82,0,5,21.28,0
4,167.41,3,1,0,18.37,1,39,0.17,1
3,255.9,5,1,0,121.1,1,15,0.39,1
18,1916.63,0,0,1,44.09,0,1,14.41,0
15,718.66,0,0,1,26.24,0,4,11.13,0
17,2504.48,0,0,1,48.83,0,1,24.27,0
17,1813.61,0,0,1,64.88,0,2,22.86,0
14,1945.82,0,0,0,34.21,0,4,2.38,0
10,1679.81,0,0,0,65.31,0,2,3.52,0
5,24.39,5,1,0,15.01,1,17,0.54,1
12,2093.86,0,0,1,46.67,0,3,13.35,0
10,2146.12,0,0,1,57.91,0,4,11.42,0
17,1125.06,1,0,1,43.42,0,5,10.19,0
8,1810.93,0,0,1,38.24,0,5,2.28,0
15,1684.84,0,0,1,45.66,0,4,5.05,0
10,2395.65,0,0,1,64.98,0,3,20.67,0
18,1564.04,0,0,1,49.31,0,5,10.39,0
9,1711.39,0,0,1,42.14,0,4,10.94,0
15,2074.63,1,0,1,55.03,0,3,1.73,0
10,1244.58,1,1,1,58.59,0,3,6.27,0
8,898.88,1,0,1,47.66,0,5,14.33,0
17,1668.2,0,0,1,67.59,0,5,13.77,0
17,1367.23,0,0,0,49.54,0,5,7.65,0
16,2638.34,0,1,1,50.43,0,4,12.22,0
13,968.88,0,0,1,56.25,0,4,6.3,0
14,1853.67,0,0,1,47.96,0,4,6.19,0
10,1827.73,1,0,1,55.22,0,4,15.02,0
3,271.13,8,1,0,19.89,1,45,0.01,1
10,1925.25,0,0,1,41.99,0,3,7.33,0
13,1573.84,0,0,1,56.68,0,2,12.1,0
11,1331.11,0,0,1,57.44,0,3,4.05,0
10,2390.04,0,0,1,63.03,0,1,16.96,0
10,2181.63,1,0,1,63.55,0,2,9.02,0
16,993.06,0,0,1,50.59,0,2,24.53,0
11,2012.41,0,0,1,52.29,0,1,15.85,0
15,2055.04,1,0,1,57.61,0,4,10.56,0
7,1379.48,0,0,1,45.03,0,5,5.0,0
16,1794.36,0,1,1,63.22,0,3,15.91,0
12,1311.87,0,0,1,36.89,0,2,15.29,0
14,1776.63,0,0,1,43.6,0,2,13.37,0
22,326.38,4,1,0,109.27,1,17,0.76,1
12,1479.39,0,0,1,50.89,0,2,15.61,0
5,105.15,5,1,0,15.84,1,44,0.47,1
14,1247.19,0,0,1,54.63,0,5,22.49,0
10,1505.05,0,0,1,57.91,0,5,4.94,0
10,1721.49,0,0,1,70.46,0,2,2.06,0
8,2021.16,0,0,1,55.55,0,4,3.71,0
8,2238.92,1,0,1,65.4,1,2,8.5,0
17,1745.2,0,0,1,73.9,0,3,20.05,0
10,2194.55,1,0,1,62.18,0,3,12.02,0
12,2519.49,0,0,1,49.71,0,3,15.51,0
9,1241.82,0,0,1,45.98,0,5,9.69,0
10,2039.02,0,0,1,55.44,0,5,10.44,0
9,1465.56,0,0,1,32.11,0,1,16.31,0
2,155.41,9,1,0,2.78,0,13,0.76,1
19,1912.81,1,0,0,55.32,0,1,11.21,0
9,2327.28,0,0,1,64.26,0,5,14.44,0
12,1531.01,0,0,1,50.94,0,1,8.73,0
2,131.6,9,1,0,9.64,1,38,0.01,1
23,382.16,3,1,0,17.11,1,49,0.54,1
0,31.38,5,1,0,17.65,0,22,1.17,1
18,1876.76,0,0,1,56.67,0,2,11.82,0
20,2299.85,0,0,1,47.32,0,5,12.34,0
13,2022.41,0,0,1,59.43,0,4,6.33,0
14,1879.17,0,0,1,62.29,0,3,15.45,0
12,1777.63,0,0,1,69.02,0,2,16.9,0
4,47.56,3,0,1,124.65,0,48,0.26,1
0,151.8,9,0,0,17.27,1,38,0.33,1
15,1711.78,0,0,1,58.4,0,3,6.26,0
10,1454.6,0,0,1,61.18,0,4,8.89,0
1,237.71,4,1,0,95.61,1,31,0.69,1
11,2241.55,0,0,1,48.82,0,2,23.18,0
9,1641.12,0,0,1,49.51,0,1,8.82,0
17,2199.05,1,0,1,67.2,0,2,22.47,0
15,1818.2,0,0,1,49.33,0,5,11.3,0
16,1651.29,2,0,1,45.4,0,5,4.52,0
11,1717.69,0,0,1,52.24,0,3,11.07,0
22,289.38,9,1,0,122.23,1,10,0.62,1
0,221.57,4,1,0,13.56,1,33,0.78,1
10,1638.26,0,0,1,53.39,0,5,0.5,0
11,2445.91,0,0,1,63.49,0,5,16.83,0
18,1575.46,0,0,1,71.63,0,5,2.48,0
19,1859.1,2,0,1,66.32,0,4,23.04,0
14,1728.3,2,0,1,56.23,0,5,11.07,0
16,1873.88,2,0,1,44.7,0,1,10.88,0
8,1634.55,0,0,1,45.68,0,1,5.05,0
13,1555.35,0,0,1,47.0,0,2,14.67,0
11,2735.13,0,0,1,62.84,0,4,10.55,0
17,1853.58,2,0,1,72.03,0,2,8.99,0
12,1566.04,0,0,1,83.91,0,4,13.93,0
10,1841.38,0,0,1,57.7,0,4,13.2,0
18,1652.55,0,0,1,61.42,0,4,17.98,0
16,2310.16,2,0,1,55.13,0,2,9.98,0
16,1387.59,0,0,1,48.34,0,5,15.18,0
11,1455.32,0,0,1,61.56,0,2,11.15,0
9,1327.25,0,0,1,64.57,0,5,2.44,0
11,1384.8,0,0,1,62.56,0,5,17.18,0
10,1974.4,0,0,1,63.48,0,3,11.8,0
9,1561.01,0,0,1,52.44,0,3,14.56,0
9,1850.36,0,0,1,39.39,0,5,10.29,0
19,1946.73,0,0,1,50.77,0,4,11.73,0
22,196.61,3,1,0,135.2,1,23,0.49,1
17,1473.04,2,0,1,75.6,0,2,9.94,0
20,1555.66,1,0,1,53.74,0,2,14.49,0
11,1588.42,1,0,1,63.19,0,2,13.6,0
15,2107.54,0,0,1,55.85,0,3,9.6,0
13,1644.03,0,0,0,77.31,0,4,21.57,0
15,2287.28,0,0,0,61.59,0,3,2.66,0
11,1979.39,0,0,1,60.47,0,3,10.5,0
11,1776.07,0,0,1,56.5,0,5,20.03,0
14,1833.13,0,0,1,55.83,0,3,8.14,0
14,1693.76,0,0,1,52.39,0,2,13.77,0
12,800.78,1,0,1,60.44,0,4,11.61,0
9,1800.3,1,0,1,57.79,0,2,14.11,0
8,1757.56,0,0,1,58.85,0,5,18.17,0
10,1314.08,0,0,1,57.04,0,3,7.69,0
14,1892.24,0,0,1,55.14,0,1,11.63,0
16,1854.08,0,0,0,53.01,0,5,9.4,0
16,2292.0,0,0,1,52.53,0,4,0.5,0
17,1322.19,0,0,1,42.73,0,2,16.36,0
10,1852.77,0,0,1,46.55,0,4,11.83,0
3,201.43,6,1,0,114.82,1,48,0.01,1
15,1594.09,2,0,1,57.91,0,4,9.55,0
23,78.29,6,1,1,145.52,1,40,0.74,1
12,1817.53,1,0,1,58.2,0,3,15.72,0
9,2297.36,1,0,1,63.52,0,2,19.63,0
2,192.19,3,1,0,139.16,1,42,0.66,1
12,1808.04,1,0,1,54.34,0,4,10.74,0
10,2436.56,0,0,1,61.5,0,2,8.27,0
9,1201.1,0,0,1,64.83,0,2,20.2,0
11,1673.88,0,0,1,45.93,0,1,8.3,0
8,2275.44,0,0,1,59.34,0,2,17.35,0
10,1389.45,0,0,1,47.73,0,4,2.99,0
7,1257.82,0,0,1,68.17,0,2,0.5,0
11,1889.74,0,0,1,54.83,0,3,1.69,0
